,Bike#,start_ts,end_ts,Latitude,Longitude,Latitude_end,Longitude_end,Start Station,End Station,Start terminal,End terminal
231,N01697,2013-10-14 21:07:00,2013-10-14 21:10:00,44.977406,-93.234911,44.9743,-93.22854,Williamson Hall,McNamara Center,30025,30057.0
232,N01697,2013-07-28 16:58:00,2013-07-28 17:03:00,44.98102,-93.23746,44.97685,-93.23818,4th Street & 13th Ave. SE,Elliot Hall,30009,30058.0
233,N01697,2013-09-06 16:34:00,2013-09-06 16:53:00,44.97974,-93.26599,44.97685,-93.23818,3rd Street S & 2nd Ave. S,Elliot Hall,30050,30058.0
234,N01697,2013-07-28 20:25:00,2013-07-28 20:34:00,44.967459999999996,-93.28848,44.9807,-93.30441,Walker Art Center,Glenwood Ave & N Morgan Ave.,30016,30059.0
235,N01697,2013-05-08 06:48:00,2013-05-08 07:06:00,44.983281,-93.24812,44.9807,-93.30441,6th Ave. SE & University Ave.,Glenwood Ave & N Morgan Ave.,30088,30059.0
236,N01697,2013-05-07 06:47:00,2013-05-07 07:04:00,44.983281,-93.24812,44.9807,-93.30441,6th Ave. SE & University Ave.,Glenwood Ave & N Morgan Ave.,30088,30059.0
237,N01697,2013-06-04 14:01:00,2013-06-04 14:09:00,44.972217,-93.27643499999999,44.96342,-93.277939,YWCA Downtown,Nicollet & Franklin,30006,30060.0
238,N01697,2013-08-31 17:03:00,2013-08-31 17:10:00,44.960744,-93.28815,44.96342,-93.277939,22nd Street & Lyndale,Nicollet & Franklin,30017,30060.0
239,N01697,2013-08-29 18:35:00,2013-08-29 18:39:00,44.960744,-93.28815,44.96342,-93.277939,22nd Street & Lyndale,Nicollet & Franklin,30017,30060.0
240,N01697,2013-07-28 15:14:00,2013-07-28 15:19:00,44.960744,-93.28815,44.96342,-93.277939,22nd Street & Lyndale,Nicollet & Franklin,30017,30060.0
241,N01697,2013-08-23 14:42:00,2013-08-23 14:51:00,44.975640999999996,-93.272185,44.96342,-93.277939,IDS Center,Nicollet & Franklin,30042,30060.0
242,N01697,2013-06-14 21:57:00,2013-06-14 22:19:00,44.97654,-93.25535,44.96342,-93.277939,Washington Ave S & 9th Ave S,Nicollet & Franklin,30046,30060.0
243,N01697,2013-08-24 21:32:00,2013-08-24 23:59:00,44.96342,-93.277939,44.96342,-93.277939,Nicollet & Franklin,Nicollet & Franklin,30060,30060.0
244,N01697,2013-08-16 18:25:00,2013-08-16 18:39:00,44.98052,-93.28542,44.96342,-93.277939,Minneapolis Farmers Market,Nicollet & Franklin,30062,30060.0
245,N01697,2013-06-30 18:36:00,2013-06-30 18:44:00,44.960744,-93.28815,44.959629,-93.294317,22nd Street & Lyndale,Emerson Ave. S & 24th Street,30017,30061.0
246,N01697,2013-04-28 11:30:00,2013-04-28 11:55:00,44.975640999999996,-93.272185,44.959629,-93.294317,IDS Center,Emerson Ave. S & 24th Street,30042,30061.0
247,N01697,2013-07-16 20:38:00,2013-07-16 20:48:00,44.94865,-93.30077,44.959629,-93.294317,Lake Street & Humboldt,Emerson Ave. S & 24th Street,30043,30061.0
248,N01697,2013-07-28 20:15:00,2013-07-28 20:18:00,44.9554734,-93.29714298,44.959629,-93.294317,26th Street & Hennepin,Emerson Ave. S & 24th Street,30044,30061.0
249,N01697,2013-07-28 15:27:00,2013-07-28 15:31:00,44.97391,-93.28305,44.98052,-93.28542,Hennepin & Laurel Ave.,Minneapolis Farmers Market,30010,30062.0
250,N01697,2013-08-15 09:28:00,2013-08-15 09:38:00,44.976602,-93.266701,44.98052,-93.28542,Hennepin County Government Center,Minneapolis Farmers Market,30029,30062.0
251,N01697,2013-07-28 14:49:00,2013-07-28 14:52:00,44.96954,-93.2669,44.970553,-93.26079,Grant Street & Portland Ave,Elliot Park,30087,30063.0
252,N01697,2013-07-28 18:45:00,2013-07-28 18:51:00,44.954096,-93.26907,44.9519,-93.27831,5th Ave. S & East 27th Street,28th Street & Nicollet Ave. S,30054,30064.0
253,N01697,2013-06-18 17:33:00,2013-06-18 17:45:00,44.97534,-93.27869,44.989451,-93.279579,11th Street & Hennepin,Washington Ave N & 9th Ave N,30004,30065.0
254,N01697,2013-07-10 10:58:00,2013-07-10 13:54:00,44.97265,-93.27405,44.989451,-93.279579,11th Street & Marquette,Washington Ave N & 9th Ave N,30040,30065.0
255,N01697,2013-07-28 15:36:00,2013-07-28 15:40:00,44.984390000000005,-93.277316,44.989451,-93.279579,5th Ave N & 4th Street N,Washington Ave N & 9th Ave N,30056,30065.0
256,N01697,2013-05-14 22:04:00,2013-05-14 22:07:00,44.984390000000005,-93.277316,44.989451,-93.279579,5th Ave N & 4th Street N,Washington Ave N & 9th Ave N,30056,30065.0
257,N01697,2013-07-28 20:40:00,2013-07-28 20:43:00,44.991412,-93.306269,44.992075,-93.294907,Plymouth Ave N. &  N. Oliver Ave,Plymouth Ave. N & Fremont,30003,30066.0
258,N01697,2013-07-28 20:48:00,2013-07-28 20:51:00,44.99957,-93.297071,44.999340999999994,-93.290941,Girard Ave N & W Broadway Ave,Bryant Ave. N & West Broadway,30068,30067.0
259,N01697,2013-07-28 20:43:00,2013-07-28 20:48:00,44.992075,-93.294907,44.99957,-93.297071,Plymouth Ave. N & Fremont,Girard Ave N & W Broadway Ave,30066,30068.0
260,N01697,2013-07-28 20:58:00,2013-07-28 21:03:00,45.00095,-93.27703699999999,45.005994,-93.287559,Minneapolis Park & Recreation Board,Farview Park,30145,30069.0
261,N01697,2013-07-28 21:03:00,2013-07-28 21:11:00,45.005994,-93.287559,45.002448,-93.30585699999999,Farview Park,West Broadway & Logan Ave N,30069,30070.0
